Time_integration Time_hrs Satellite_index angular_distance  Satellite_range
379 0.1682526366203092 [508] [0.04674193] [1865.06182572] 
404 0.1793083300581202 [279] [0.02582195] [2018.68289015] 
429 0.19041957997251302 [508] [0.03138852] [1442.29674079] 
454 0.20147541485494003 [279] [0.00522117] [1630.83669148] 
479 0.21258666476933286 [279] [0.008352] [1469.68657045] 
504 0.22369791485834867 [279] [0.01098744] [1342.19408191] 
524 0.2325869425549172 [279] [0.02819442] [1271.48352944] 
529 0.2348091647727415 [279] [0.01470864] [1258.83091722] 
654 0.29033777659060434 [277] [0.05825805] [1227.94989959] 
2556 1.134989719837904 [72] [0.0288756] [1285.8290071] 
2606 1.157156802364625 [102] [0.03884681] [1284.46272344] 
3019 1.3404929131502286 [81] [0.07231091] [1236.45969724] 
4934 2.190450555004645 [274] [0.05383516] [1767.83552775] 
4959 2.201506248442456 [106] [0.01752951] [1965.40540604] 
4984 2.212617498356849 [59] [0.02070956] [1909.09800281] 
5009 2.223728748271242 [358] [0.02016153] [1626.48378062] 
5034 2.2347845833282918 [106] [0.02280471] [1527.92427578] 
5071 2.251395834842697 [88] [0.04143109] [2004.94380945] 
5109 2.268229443754535 [62] [0.06968288] [1767.69920792] 
5134 2.2793407113058493 [252] [0.04417274] [1974.34947549] 
5184 2.301507776021026 [533] [0.03517903] [1773.04067292] 
5259 2.3347861109068617 [373] [0.01905885] [1781.65710805] 
5284 2.3458418069640175 [267] [0.05748479] [1688.1580177] 
5309 2.3570086109102704 [523] [0.01524698] [1934.764271] 
5359 2.3792312499135733 [272] [0.01510254] [1991.82245572] 
5409 2.401398195710499 [272] [0.06932864] [1603.27909664] 
5471 2.4290652770432644 [272] [0.06292127] [1268.50380707] 
5484 2.434815415937919 [280] [0.00248615] [1898.37570138] 
5509 2.4459544426063076 [280] [0.0164304] [1701.3422301] 
5534 2.4570656926953234 [280] [0.0205615] [1525.3402222] 
5609 2.490288473549299 [524] [0.05382068] [1994.39967569] 
5647 2.5071220824611373 [519] [0.04235566] [1971.75965586] 
5672 2.51823333237553 [281] [0.05207322] [1958.13318626] 
5697 2.529289025987964 [514] [0.04304737] [1278.37439958] 
5722 2.5403724989737384 [45] [0.00730921] [1957.89893115] 
5747 2.551456110610161 [255] [0.02328218] [1631.85089009] 
5772 2.5625118068419397 [537] [0.04172202] [1879.68062629] 
5785 2.5682341658393852 [84] [0.05643481] [2005.7063252] 
5847 2.5958456955850124 [14] [0.05382839] [1965.53938978] 
5872 2.6070124995312653 [537] [0.04150331] [1264.66686463] 
5935 2.6348462481983006 [283] [0.01295918] [1952.49294954] 
5960 2.6459574981126934 [100] [0.01755104] [1743.83337121] 
6010 2.668069028877653 [86] [0.06894948] [1785.12514779] 
6023 2.6737912490498275 [75] [0.05004203] [2025.62743413] 
6048 2.684847029100638 [273] [0.01506106] [1974.90700575] 
6073 2.6959027770208195 [56] [0.03283743] [1496.88996032] 
6123 2.718069723166991 [273] [0.0767941] [1439.32407096] 
6161 2.7349033320788294 [257] [0.04017733] [1988.92058601] 
6198 2.751459166116547 [257] [0.03067592] [1697.57133618] 
6248 2.7736816659453325 [40] [0.03443771] [1456.23113504] 
6273 2.7847930548596196 [98] [0.02319712] [1979.18497612] 
6298 2.7958487507421523 [259] [0.05616911] [1814.05931938] 
6323 2.8070155546884052 [50] [0.02052582] [1967.12910338] 
6348 2.818126804952044 [259] [0.0308198] [1473.68448344] 
6373 2.829238193691708 [50] [0.01979886] [1637.09897951] 
6398 2.840349443606101 [262] [0.0193843] [1934.8530551] 
6448 2.8625163895776495 [276] [0.05473874] [2018.39926956] 
6498 2.8847390287555754 [68] [0.05559927] [1885.79206938] 
6511 2.890489027078729 [263] [0.05737954] [1961.06847837] 
6573 2.918183886562474 [531] [0.01987275] [1962.54070934] 
6598 2.929295275476761 [263] [0.01943893] [1393.89892169] 
6648 2.9514899982023053 [254] [0.00590199] [1791.77738624] 
6673 2.9625734713627025 [20] [0.02580021] [2023.56362262] 
6698 2.9736848602769896 [102] [0.02589528] [2007.65061089] 
6723 2.9847961101913825 [536] [0.02667671] [1671.87173402] 
6748 2.995851806248538 [354] [0.05368494] [1915.60433313] 
6798 3.018074445077218 [354] [0.07642121] [1572.20131663] 
6823 3.029185694991611 [250] [0.06690578] [2006.58422356] 
6848 3.0402969449060038 [37] [0.06525047] [1964.83011203] 
